interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,sex,census_region,hispan,race,household_income,education,state,congress_district,age,age_group,vote_trump
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,female,Northeast,not hispanic,white,"$80,000 to $84,999",bachelor,NJ,NJ07,41,40 ~ 50,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,West,not hispanic,white,"Less than $14,999",bachelor,OR,OR02,72,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Northeast,not hispanic,black,"$100,000 to $124,999",bachelor,PA,PA03,80,>= 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,South,not hispanic,white,"$80,000 to $84,999",bachelor,NC,NC02,66,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$35,000 to $39,999",tertiary (not bachelor),TX,TX31,40,40 ~ 50,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,South,not hispanic,asian or pacific,"$75,000 to $79,999",graduate,VA,VA09,31,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$95,000 to $99,999",graduate,OH,OH05,69,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,West,not hispanic,asian or pacific,"$125,000 to $149,999",graduate,CA,CA17,31,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,white,"$85,000 to $89,999",graduate,IL,IL11,51,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$100,000 to $124,999",graduate,NC,NC03,78,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Midwest,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),MI,MI07,58,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Self-employed,The United States,female,Midwest,not hispanic,white,"$65,000 to $69,999",bachelor,MI,MI01,41,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,male,Northeast,not hispanic,white,"$30,000 to $34,999",at most high school,CT,CT01,39,30 ~ 40,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,South,not hispanic,white,"$50,000 to $54,999",bachelor,NC,NC02,63,60 ~ 70,1
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$45,000 to $49,999",tertiary (not bachelor),CT,CT01,73,>= 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$40,000 to $44,999",graduate,NC,NC09,38,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,West,not hispanic,white,"$30,000 to $34,999",tertiary (not bachelor),OR,OR05,69,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,Midwest,not hispanic,white,"$100,000 to $124,999",graduate,IL,IL15,61,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,West,not hispanic,white,"$30,000 to $34,999",graduate,CA,CA24,54,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,South,not hispanic,white,"$150,000 to $174,999",graduate,FL,FL02,70,>= 70,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$100,000 to $124,999",graduate,GA,GA10,52,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,female,Northeast,not hispanic,white,"$75,000 to $79,999",graduate,NY,NY21,63,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,female,West,not hispanic,white,"$25,000 to $29,999",tertiary (not bachelor),WA,WA05,63,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,female,Midwest,not hispanic,white,"$55,000 to $59,999",tertiary (not bachelor),OH,OH05,45,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,female,Midwest,not hispanic,white,"$45,000 to $49,999",at most high school,IL,IL16,30,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$90,000 to $94,999",at most high school,MA,MA08,66,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,female,Midwest,not hispanic,asian or pacific,"$80,000 to $84,999",graduate,MO,MO03,40,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,West,not hispanic,white,"$60,000 to $64,999",graduate,CO,CO05,49,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,female,South,not hispanic,white,"$90,000 to $94,999",bachelor,NC,NC05,60,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,female,Northeast,not hispanic,white,"$70,000 to $74,999",graduate,NY,NY13,68,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$60,000 to $64,999",at most high school,IN,IN04,58,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,Northeast,not hispanic,white,"$65,000 to $69,999",bachelor,PA,PA07,76,>= 70,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$25,000 to $29,999",tertiary (not bachelor),SC,SC07,38,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$100,000 to $124,999",graduate,IL,IL09,53,50 ~ 60,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Midwest,not hispanic,white,"$15,000 to $19,999",bachelor,OH,OH14,64,60 ~ 70,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$65,000 to $69,999",bachelor,IA,IA02,66,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$125,000 to $149,999",graduate,WI,WI05,56,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Conservative,Homemaker,The United States,female,Northeast,not hispanic,white,"$85,000 to $89,999",bachelor,CT,CT02,26,20 ~ 30,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,female,Northeast,not hispanic,white,"$30,000 to $34,999",at most high school,PA,PA09,58,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Northeast,not hispanic,white,"$100,000 to $124,999",graduate,NJ,NJ03,72,>= 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$60,000 to $64,999",graduate,DC,DC00,36,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,Northeast,not hispanic,white,"$100,000 to $124,999",graduate,PA,PA01,70,>= 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Northeast,not hispanic,white,"$150,000 to $174,999",graduate,NY,NY09,40,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$150,000 to $174,999",graduate,FL,FL15,42,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,Another country,male,South,not hispanic,black,"Less than $14,999",at most high school,FL,,26,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,Another country,male,Northeast,not hispanic,asian or pacific,"Less than $14,999",bachelor,NY,NY10,45,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,female,South,not hispanic,white,"$30,000 to $34,999",tertiary (not bachelor),GA,GA01,57,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,female,Midwest,not hispanic,white,"$90,000 to $94,999",bachelor,IL,IL01,55,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,female,South,not hispanic,white,"$100,000 to $124,999",bachelor,TN,TN09,55,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Homemaker,Another country,female,West,not hispanic,asian or pacific,"$25,000 to $29,999",bachelor,CA,CA32,46,40 ~ 50,0
