interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,sex,census_region,hispan,race,household_income,education,state,congress_district,age,age_group,vote_trump
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,South,not hispanic,white,"$100,000 to $124,999",graduate,TX,TX28,71,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Northeast,not hispanic,white,"$100,000 to $124,999",bachelor,NJ,NJ10,36,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,Midwest,not hispanic,white,"$175,000 to $199,999",bachelor,WI,WI03,63,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,West,not hispanic,white,"$100,000 to $124,999",graduate,AZ,AZ01,39,30 ~ 40,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,West,not hispanic,asian or pacific,"$100,000 to $124,999",bachelor,HI,HI02,75,>= 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,Another country,male,Northeast,not hispanic,white,"$100,000 to $124,999",at most high school,NY,NY10,33,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,white,"$95,000 to $99,999",graduate,NY,,32,30 ~ 40,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Unemployed or temporarily on layoff,The United States,female,Northeast,not hispanic,black,"$30,000 to $34,999",bachelor,NJ,NJ05,34,30 ~ 40,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,South,not hispanic,black,"$15,000 to $19,999",at most high school,AR,AR01,66,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,Northeast,not hispanic,black,"$55,000 to $59,999",at most high school,PA,PA18,31,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,West,not hispanic,white,"$200,000 to $249,999",graduate,CA,CA48,50,50 ~ 60,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,West,not hispanic,white,"$50,000 to $54,999",graduate,CA,CA40,33,30 ~ 40,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,male,West,not hispanic,white,"$60,000 to $64,999",tertiary (not bachelor),UT,UT01,42,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,West,not hispanic,asian or pacific,"$95,000 to $99,999",bachelor,UT,UT04,44,40 ~ 50,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Midwest,not hispanic,white,"$250,000 and above",bachelor,MN,MN03,76,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$45,000 to $49,999",at most high school,KY,KY04,54,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,Another country,female,South,mexican,other,"Less than $14,999",bachelor,FL,FL26,31,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,Midwest,not hispanic,white,"$175,000 to $199,999",graduate,OH,OH12,73,>= 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Permanently disabled,The United States,male,Northeast,not hispanic,white,"$70,000 to $74,999",tertiary (not bachelor),PA,PA05,59,50 ~ 60,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,male,Northeast,not hispanic,white,"$15,000 to $19,999",graduate,NH,NH02,59,50 ~ 60,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,female,West,other,white,"Less than $14,999",bachelor,CA,CA29,34,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$35,000 to $39,999",at most high school,TX,TX35,56,50 ~ 60,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Midwest,mexican,white,"$125,000 to $149,999",bachelor,MO,MO03,29,20 ~ 30,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,Midwest,not hispanic,white,"$25,000 to $29,999",at most high school,OH,OH05,41,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,Northeast,mexican,other,"$45,000 to $49,999",tertiary (not bachelor),NY,NY16,30,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$125,000 to $149,999",graduate,FL,FL15,46,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,male,South,not hispanic,white,"$45,000 to $49,999",at most high school,DE,DE00,41,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,South,other,black,"$125,000 to $149,999",graduate,FL,FL26,34,30 ~ 40,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,West,not hispanic,white,"$175,000 to $199,999",graduate,CA,CA13,73,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,female,South,not hispanic,white,"$35,000 to $39,999",at most high school,NC,NC10,25,20 ~ 30,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,not hispanic,black,"$85,000 to $89,999",bachelor,VA,VA04,40,40 ~ 50,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,male,West,mexican,other,"$175,000 to $199,999",tertiary (not bachelor),CA,CA47,38,30 ~ 40,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Midwest,not hispanic,white,"Less than $14,999",at most high school,OH,OH13,37,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,Another country,male,South,other,white,"$95,000 to $99,999",bachelor,FL,FL22,41,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,male,Midwest,not hispanic,white,"$25,000 to $29,999",graduate,IL,,59,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Other:,The United States,male,South,not hispanic,white,"$70,000 to $74,999",tertiary (not bachelor),AR,AR04,51,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,West,not hispanic,asian or pacific,"Less than $14,999",at most high school,CA,CA07,28,20 ~ 30,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,male,West,not hispanic,asian or pacific,"$100,000 to $124,999",bachelor,CA,CA29,23,20 ~ 30,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,West,not hispanic,asian or pacific,"$35,000 to $39,999",at most high school,WA,WA10,52,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,Midwest,not hispanic,white,"$35,000 to $39,999",bachelor,MI,MI05,59,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Self-employed,The United States,male,Northeast,mexican,white,"$250,000 and above",tertiary (not bachelor),NY,NY10,59,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,South,not hispanic,black,"$30,000 to $34,999",at most high school,MS,MS04,42,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Permanently disabled,The United States,male,South,not hispanic,white,"$15,000 to $19,999",at most high school,LA,LA05,39,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,West,mexican,white,"$150,000 to $174,999",graduate,CA,CA29,59,50 ~ 60,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Other:,The United States,male,Northeast,other,white,"$20,000 to $24,999",bachelor,NY,NY25,33,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,Northeast,not hispanic,asian or pacific,"$95,000 to $99,999",bachelor,NY,NY09,67,60 ~ 70,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,female,South,not hispanic,black,"$45,000 to $49,999",at most high school,TX,TX32,64,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,female,Northeast,not hispanic,white,"$40,000 to $44,999",bachelor,PA,PA08,27,20 ~ 30,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,Full-time employed,The United States,male,West,not hispanic,white,"$85,000 to $89,999",graduate,CA,CA01,25,20 ~ 30,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Northeast,not hispanic,white,"$100,000 to $124,999",at most high school,NJ,NJ06,77,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,West,not hispanic,white,"$250,000 and above",graduate,CA,CA15,40,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,male,Midwest,mexican,white,"$50,000 to $54,999",bachelor,IL,IL01,28,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,South,not hispanic,black,"$15,000 to $19,999",at most high school,TN,TN04,20,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,mexican,other,"$95,000 to $99,999",bachelor,TX,TX16,35,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Northeast,not hispanic,white,"$25,000 to $29,999",bachelor,NJ,NJ06,67,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,male,Northeast,not hispanic,white,"$25,000 to $29,999",bachelor,PA,PA13,39,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,South,not hispanic,black,"Less than $14,999",at most high school,GA,GA01,40,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,Northeast,not hispanic,white,"$250,000 and above",graduate,NY,NY10,36,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,Northeast,not hispanic,white,"$125,000 to $149,999",bachelor,PA,PA10,52,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,South,not hispanic,white,"$175,000 to $199,999",tertiary (not bachelor),TX,TX36,63,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Homemaker,The United States,female,South,not hispanic,white,"Less than $14,999",at most high school,AL,AL03,33,30 ~ 40,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,male,South,not hispanic,white,"$20,000 to $24,999",tertiary (not bachelor),LA,LA06,30,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,West,not hispanic,white,"$85,000 to $89,999",graduate,HI,HI02,70,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,male,Midwest,not hispanic,other,"$50,000 to $54,999",bachelor,MI,MI07,39,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,male,Northeast,not hispanic,white,"$250,000 and above",graduate,NY,NY10,40,40 ~ 50,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Unemployed or temporarily on layoff,The United States,female,West,not hispanic,white,"$40,000 to $44,999",bachelor,CA,CA19,21,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,West,not hispanic,white,"$75,000 to $79,999",tertiary (not bachelor),OR,OR03,66,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,West,not hispanic,white,"$125,000 to $149,999",bachelor,AZ,AZ08,69,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,Another country,female,South,not hispanic,asian or pacific,"$85,000 to $89,999",bachelor,FL,FL09,23,20 ~ 30,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Permanently disabled,The United States,male,West,not hispanic,white,"Less than $14,999",bachelor,OR,OR04,64,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,West,not hispanic,white,"$70,000 to $74,999",bachelor,AZ,AZ03,60,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,white,"$30,000 to $34,999",bachelor,VA,VA05,44,40 ~ 50,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Full-time employed,Another country,female,South,other,black,"$30,000 to $34,999",at most high school,FL,FL24,39,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$90,000 to $94,999",bachelor,KY,KY04,39,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Conservative,Retired,The United States,male,Northeast,not hispanic,asian or pacific,"$45,000 to $49,999",bachelor,MA,MA04,76,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,Northeast,not hispanic,white,"$100,000 to $124,999",graduate,NY,NY10,40,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,West,not hispanic,black,"Less than $14,999",bachelor,NV,NV04,39,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,Midwest,not hispanic,white,"$65,000 to $69,999",graduate,IL,IL06,71,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,male,Midwest,not hispanic,white,"$35,000 to $39,999",at most high school,OH,OH12,27,20 ~ 30,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,black,"$35,000 to $39,999",bachelor,FL,FL10,41,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$70,000 to $74,999",at most high school,FL,FL23,56,50 ~ 60,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,Northeast,not hispanic,white,"$25,000 to $29,999",tertiary (not bachelor),PA,PA15,49,40 ~ 50,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,West,not hispanic,black,"$65,000 to $69,999",bachelor,NV,NV01,50,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Northeast,not hispanic,white,"$100,000 to $124,999",bachelor,NY,NY11,69,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,Northeast,not hispanic,white,"$250,000 and above",bachelor,NJ,NJ01,40,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,South,not hispanic,american indian or alaska native,"$100,000 to $124,999",at most high school,TN,TN08,62,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,male,Northeast,not hispanic,white,"$45,000 to $49,999",bachelor,PA,PA02,70,>= 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,white,"$100,000 to $124,999",tertiary (not bachelor),VA,VA02,50,50 ~ 60,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Permanently disabled,The United States,female,South,not hispanic,white,"Less than $14,999",tertiary (not bachelor),FL,FL08,58,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$95,000 to $99,999",bachelor,NE,NE02,72,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$70,000 to $74,999",bachelor,MI,MI09,28,20 ~ 30,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,South,not hispanic,white,"$200,000 to $249,999",graduate,VA,VA01,40,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Full-time employed,The United States,female,South,not hispanic,black,"$30,000 to $34,999",bachelor,FL,FL18,54,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,Midwest,not hispanic,white,"$95,000 to $99,999",bachelor,IL,IL01,68,60 ~ 70,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,male,West,not hispanic,white,"$15,000 to $19,999",at most high school,AZ,AZ06,58,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$65,000 to $69,999",bachelor,IL,IL02,69,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,white,"$100,000 to $124,999",at most high school,MA,MA08,37,30 ~ 40,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$125,000 to $149,999",bachelor,TX,TX30,35,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,white,"$100,000 to $124,999",at most high school,CT,CT05,51,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,male,South,not hispanic,white,"$200,000 to $249,999",bachelor,FL,FL04,71,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,South,not hispanic,white,"$95,000 to $99,999",bachelor,SC,SC07,63,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Midwest,not hispanic,white,"$150,000 to $174,999",graduate,KS,KS03,36,30 ~ 40,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$200,000 to $249,999",bachelor,VA,VA10,49,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$70,000 to $74,999",graduate,SC,SC01,51,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,male,Northeast,not hispanic,white,"$35,000 to $39,999",bachelor,CT,CT02,70,>= 70,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,white,"$100,000 to $124,999",bachelor,IA,IA03,56,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,male,Midwest,not hispanic,white,"$80,000 to $84,999",graduate,MI,MI06,71,>= 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,Northeast,mexican,white,"$25,000 to $29,999",at most high school,PA,PA09,25,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,Northeast,not hispanic,white,"$250,000 and above",graduate,PA,PA05,44,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,female,West,not hispanic,white,"$70,000 to $74,999",tertiary (not bachelor),CA,CA21,44,40 ~ 50,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,West,not hispanic,white,"$100,000 to $124,999",bachelor,WA,WA02,37,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,Another country,female,South,other,other,"$70,000 to $74,999",at most high school,NC,NC10,55,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$80,000 to $84,999",at most high school,TX,TX08,58,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,South,not hispanic,white,"Less than $14,999",at most high school,AR,,50,50 ~ 60,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$35,000 to $39,999",bachelor,TX,TX19,42,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,Midwest,not hispanic,white,"$80,000 to $84,999",bachelor,IA,IA01,68,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,South,not hispanic,white,"$100,000 to $124,999",bachelor,OK,OK04,74,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Self-employed,The United States,male,Northeast,not hispanic,white,"$50,000 to $54,999",bachelor,PA,PA12,73,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,Another country,male,South,not hispanic,white,"$250,000 and above",graduate,FL,FL21,74,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Northeast,not hispanic,white,"$125,000 to $149,999",graduate,CT,CT01,65,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Midwest,not hispanic,white,"$125,000 to $149,999",tertiary (not bachelor),MI,MI11,71,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,female,Northeast,not hispanic,white,"$85,000 to $89,999",at most high school,NY,NY01,68,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Conservative,Unemployed or temporarily on layoff,The United States,male,Midwest,not hispanic,white,"$40,000 to $44,999",bachelor,IL,IL10,82,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$75,000 to $79,999",graduate,IN,IN01,71,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,West,not hispanic,white,"$200,000 to $249,999",graduate,CA,CA47,40,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Other:,The United States,male,South,not hispanic,white,"$30,000 to $34,999",bachelor,TX,TX10,64,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,South,not hispanic,white,"$40,000 to $44,999",at most high school,TX,TX06,67,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Self-employed,The United States,male,South,not hispanic,white,"$250,000 and above",bachelor,SC,SC07,46,40 ~ 50,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,South,not hispanic,white,"$90,000 to $94,999",tertiary (not bachelor),TX,TX06,57,50 ~ 60,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,South,not hispanic,white,"$80,000 to $84,999",at most high school,AL,AL03,66,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,South,not hispanic,white,"$20,000 to $24,999",graduate,FL,FL10,71,>= 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,male,South,not hispanic,white,"$100,000 to $124,999",tertiary (not bachelor),FL,FL01,69,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,female,South,not hispanic,white,"$50,000 to $54,999",bachelor,NC,NC08,61,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,white,"$250,000 and above",bachelor,PA,PA06,66,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Homemaker,Another country,female,South,not hispanic,asian or pacific,"$125,000 to $149,999",bachelor,TX,TX14,65,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,Midwest,not hispanic,white,"$95,000 to $99,999",bachelor,IL,IL07,36,30 ~ 40,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Midwest,mexican,black,"$35,000 to $39,999",graduate,IN,IN07,28,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,Midwest,not hispanic,white,"$35,000 to $39,999",tertiary (not bachelor),WI,WI03,64,60 ~ 70,0
